method,knn,rf,tabpfn,MEAN
baseline,0.0,0.0,0.0,0.0
smote,3.8054400000000044,-0.9877000000000038,0.19162000000000035,1.0031200000000002
tabebm,3.2974800000000073,-0.8952599999999933,-0.8611599999999981,0.513686666666672
