,mean,mean,mean,std,std,std
classifier,knn,rf,tabpfn,knn,rf,tabpfn
method,,,,,,
baseline,88.21802,93.07572,92.71838,3.1025672292474167,2.2875366657170786,2.5537967317310093
smote,92.02346,92.08802,92.91,2.281898701301175,2.46201730233563,3.1479728231037827
tabebm,91.5155,92.18046000000001,91.85722,2.2716408849111707,2.350232819956352,2.8729184381043615
