,mean,mean,mean,std,std,std
classifier,knn,rf,tabpfn,knn,rf,tabpfn
method,,,,,,
baseline,78.7801,77.31406,79.36502,1.8001792507969843,3.9054559462372653,2.2747472105708755
smote,75.14916000000001,76.81796,77.40236,3.865017354812267,4.7422588945564765,2.7867760930867767
tabebm,75.78020000000001,79.28316,75.50242,2.7339154641283265,3.1411885104208546,2.336537580908984
