method,knn,rf,tabpfn,MEAN
baseline,0.0,0.0,0.0,0.0
smote,-3.6309399999999954,-0.49609999999999843,-1.9626599999999996,-2.029899999999998
tabebm,-2.9998999999999967,1.9690999999999974,-3.8626000000000005,-1.6311333333333333
