ebm_i,dist_i,ebm_j,dist_j,pearson_r
0,2.0,1,5.0,0.9586
0,2.0,2,10.0,0.9114
0,2.0,3,15.0,0.9272
1,5.0,2,10.0,0.972
1,5.0,3,15.0,0.9766
2,10.0,3,15.0,0.9934
