eval_idx,region,energy_mean,energy_std,energy_range,gar,grad_var
338,far,-2.508789,0.138861,0.324219,0.556614,5e-06
339,far,-2.432129,0.073772,0.199219,0.203533,2e-06
340,far,-2.685547,0.225046,0.541016,0.537277,3.3e-05
341,far,-2.572266,0.195454,0.458984,0.629837,5e-06
342,far,-2.482422,0.092098,0.224609,0.72859,1e-06
343,far,-2.553711,0.164216,0.388672,0.586736,4e-06
344,far,-2.449707,0.068782,0.185547,0.284196,4e-06
345,far,-2.727539,0.231972,0.564453,0.755237,1.4e-05
346,far,-2.82373,0.352384,0.914062,0.420363,9.5e-05
347,far,-2.651856,0.166786,0.347656,0.789079,5e-06
348,far,-2.578613,0.145756,0.316406,0.815405,5e-06
349,far,-2.630371,0.158223,0.373047,0.884063,1e-05
350,far,-2.495606,0.114474,0.263672,0.24196,1e-06
351,far,-2.484863,0.10362,0.261719,0.339012,3e-06
352,far,-2.476074,0.115312,0.273438,0.64368,1e-06
353,far,-2.691894,0.236007,0.519531,0.660375,1.4e-05
354,far,-2.428223,0.057466,0.140625,0.38276,0.0
355,far,-2.851074,0.245303,0.556641,0.604781,3.7e-05
356,far,-2.543945,0.150311,0.363281,0.665573,4e-06
357,far,-2.767578,0.181976,0.4375,0.827315,1.1e-05
358,far,-2.578125,0.178051,0.408203,0.643566,4e-06
359,far,-2.46582,0.093317,0.203125,0.604235,0.0
360,far,-2.686524,0.183846,0.470703,0.438639,5e-06
361,far,-2.47168,0.10398,0.242188,0.712629,1e-06
362,far,-2.690918,0.215315,0.517578,0.390949,2.3e-05
363,far,-2.533692,0.125018,0.294922,0.584835,5e-06
364,far,-2.496582,0.043616,0.09375,0.379905,2e-06
365,far,-2.509277,0.122871,0.294922,0.469422,2e-06
366,far,-2.672363,0.22629,0.527344,0.639108,9e-06
367,far,-2.526367,0.105238,0.228516,0.544537,2e-06
368,far,-2.470703,0.126011,0.304688,0.600144,1e-06
369,far,-2.550781,0.123364,0.279297,0.688679,2e-06
370,far,-2.516602,0.110352,0.220703,0.38593,5e-06
371,far,-2.59082,0.131183,0.298828,0.523553,1.1e-05
372,far,-2.944824,0.178924,0.449219,0.9079,1.3e-05
373,far,-2.444336,0.088286,0.191406,0.642239,0.0
374,far,-2.582031,0.141342,0.308594,0.579894,6e-06
375,far,-2.623535,0.13049,0.308594,0.697748,5e-06
376,far,-2.69873,0.251136,0.582031,0.614888,1.8e-05
377,far,-2.77832,0.26903,0.644531,0.845592,7e-06
378,far,-2.461426,0.097376,0.207031,0.333656,1e-06
379,far,-2.967285,0.240149,0.587891,0.83661,2.3e-05
380,far,-2.467285,0.105046,0.261719,0.570761,1e-06
381,far,-2.579102,0.165743,0.402344,0.591084,4e-06
382,far,-2.569824,0.119024,0.283203,0.630781,2e-06
383,far,-2.452637,0.082372,0.195312,0.27396,5e-06
384,far,-2.493164,0.08257,0.193359,0.444214,2e-06
385,far,-2.609863,0.150691,0.396484,0.783695,3e-06
386,far,-3.343262,0.230702,0.601562,0.773178,5.3e-05
387,far,-2.887695,0.325781,0.798828,0.611169,1.6e-05
388,far,-2.841308,0.288138,0.693359,0.722082,2.6e-05
389,far,-2.478516,0.116166,0.265625,0.619597,1e-06
390,far,-2.491699,0.107345,0.230469,0.600821,1e-06
391,far,-2.493652,0.077848,0.185547,0.561684,1e-06
392,far,-2.505371,0.133966,0.326172,0.595342,4e-06
393,far,-2.590332,0.150165,0.349609,0.466458,1.7e-05
394,far,-2.57959,0.138047,0.296875,0.635114,4e-06
395,far,-2.549316,0.109831,0.289062,0.481208,5e-06
396,far,-2.433106,0.049572,0.126953,0.429667,0.0
397,far,-2.59961,0.149443,0.351562,0.408712,1.5e-05
398,far,-2.87207,0.188112,0.474609,0.729882,1.3e-05
399,far,-2.541992,0.084149,0.210938,0.368642,3e-06
400,far,-2.69336,0.192579,0.472656,0.820632,6e-06
401,far,-2.567383,0.185519,0.447266,0.655976,3e-06
402,far,-2.436035,0.063894,0.15625,0.644505,0.0
403,far,-2.637695,0.157384,0.371094,0.77112,1.1e-05
404,far,-2.48291,0.0813,0.1875,0.792273,1e-06
405,far,-2.556152,0.142024,0.3125,0.490175,6e-06
406,far,-2.521973,0.11029,0.248047,0.669426,2e-06
407,far,-2.602539,0.17692,0.416016,0.746698,4e-06
408,far,-2.478027,0.099239,0.238281,0.4256,1e-06
409,far,-2.522461,0.100206,0.21875,0.618482,2e-06
410,far,-2.443848,0.083727,0.214844,0.62541,0.0
411,far,-2.449707,0.085262,0.201172,0.498465,1e-06
412,far,-2.540039,0.132024,0.353516,0.816731,1e-06
413,far,-2.50586,0.109732,0.25,0.743882,1e-06
414,far,-2.45459,0.112414,0.244141,0.515373,1e-06
415,far,-2.626953,0.172634,0.435547,0.632992,8e-06
416,far,-2.570312,0.161945,0.40625,0.6127,3e-06
