method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tabebm,2.9,3.7,1.7,1.6,3.5,2.9,2.7166666666666663
baseline,3.9,2.1,3.0,3.4,1.3,2.7,2.733333333333334
tvae,2.1,2.2,4.4,3.2,2.3,2.6,2.8000000000000007
smote,1.4,3.2,2.7,2.4,4.9,2.9,2.9166666666666665
ctgan,4.7,3.8,3.2,4.4,3.0,3.9,3.8333333333333335
