method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tvae,2.0,2.6,2.7,2.2,1.8,2.4,2.2833333333333337
baseline,2.6,2.0,2.6,3.7,2.3,3.2,2.733333333333333
smote,2.4,3.6,3.4,2.9,3.8,3.1,3.2000000000000006
tabebm,4.4,3.8,3.5,2.1,3.8,2.1,3.283333333333333
ctgan,3.6,3.0,2.8,4.1,3.3,4.2,3.4999999999999996
