,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
classifier,knn,lr,mlp,rf,tabpfn,xgboost,knn,lr,mlp,rf,tabpfn,xgboost
method,,,,,,,,,,,,
baseline,92.14268,82.70553,93.20995,94.33521,94.92512,93.0625,1.2040080202759789,0.9550784680386833,1.5300716985742113,1.766400158168522,1.0553502902406864,2.152432877260313
ctgan,92.14268,82.70553,93.22582,94.38977,94.92512,93.0625,1.2040080202759789,0.9550784680386833,1.509586049072906,1.8265686306113238,1.0553502902406864,2.152432877260313
smote,93.80012,84.91164,94.20561000000001,94.26707999999999,94.10778,92.94095999999999,1.0314598659720604,1.1166172299504513,1.0887985289095243,1.5749246851833918,0.8751680826497762,2.5169894968217728
tabebm,93.65668,83.45761999999999,94.20676999999999,94.1098,94.43217999999999,93.80562,1.1775420254826434,1.452704775238247,1.1568275316091383,1.6770245940023958,1.275893893010784,1.7075639046443996
tvae,92.47056,79.07485,92.58543,93.16666000000001,93.74505,93.47519,1.3219005662723315,2.0424316853800635,1.387940251715952,1.6946561730595666,1.0392700860058768,1.2299266522394252
