method,knn,lr,mlp,rf,xgboost,AVG_RANK
tvae,1.6,2.1,2.8,2.9,3.0,2.48
tabebm,2.6,2.8,2.4,1.9,2.7,2.4800000000000004
smote,2.2,3.7,3.2,3.0,2.9,3.0000000000000004
baseline,3.8,2.7,3.4,3.5,2.7,3.22
ctgan,4.8,3.7,3.2,3.7,3.7,3.8199999999999994
