,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
classifier,knn,lr,mlp,rf,tabpfn,xgboost,knn,lr,mlp,rf,tabpfn,xgboost
method,,,,,,,,,,,,
baseline,94.7384,84.16703,95.37620999999999,95.89224,96.36471,95.22355,1.6869604204011432,1.1408841717915283,0.9776145030407158,1.6889226139761375,0.7935792650321025,1.1822037897738087
ctgan,94.7384,84.16703,95.36929,95.92977,96.36471,95.22355,1.6869604204011432,1.1408841717915283,1.2090080263036587,1.7884045509584543,0.7935792650321025,1.1822037897738087
smote,95.34792999999999,84.47785999999999,95.74766,96.08242,95.997,95.38198,1.4112121582762316,1.492780858517271,0.8203264000790567,1.4718343564711713,1.1890502325619192,1.365659934732411
tabebm,95.12799,83.57419,95.50838,95.89222,95.97076,95.69512999999999,1.4133707514307783,1.5652223317045648,1.0182460746030104,1.6400121786810673,1.1358545742205635,1.4513649353855362
tvae,94.73724,77.83958,94.87030999999999,95.73955,95.96266,95.45241,1.7943041828085986,2.2924083967158526,1.688212834429749,1.8204764585435076,1.688586812955995,1.4401689796301282
