method,knn,lr,mlp,rf,tabpfn,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,0.0,0.0,-0.3392199999999974,-0.8089100000000045,0.0,0.0,-0.1913550000000003
smote,9.846030000000013,3.4856999999999942,-1.1147100000000023,7.074459999999995,13.677699999999987,11.666049999999998,7.439204999999998
tabebm,10.012109999999993,4.077700000000007,0.0024099999999975807,6.360930000000003,11.830459999999988,5.723949999999988,6.33459333333333
tvae,-0.8702199999999891,-10.554179999999988,-9.973649999999992,14.178540000000005,17.740809999999996,13.523869999999988,4.007528333333337
