method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tvae,1.2,2.8,1.7,1.8,2.2,1.7,1.8999999999999997
smote,2.6,2.9,2.7,1.9,1.7,3.3,2.516666666666666
tabebm,2.8,1.9,2.3,2.4,4.1,2.9,2.733333333333333
baseline,3.7,3.2,4.1,4.4,3.0,3.0,3.5666666666666664
ctgan,4.7,4.2,4.2,4.5,4.0,4.1,4.283333333333334
