method,knn,lr,mlp,rf,xgboost,AVG_RANK
tabebm,1.1,1.9,2.2,1.1,1.8,1.6200000000000003
baseline,3.0,1.7,2.3,3.4,2.0,2.48
smote,4.0,2.7,2.6,3.4,3.0,3.14
ctgan,5.0,3.7,3.4,2.9,4.0,3.8
tvae,1.9,5.0,4.5,4.2,4.2,3.96
