method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
smote,2.3,2.9,3.3,1.4,3.1,2.0,2.5
tvae,1.3,2.3,1.4,2.4,3.9,3.9,2.5333333333333337
tabebm,2.4,1.2,2.1,2.8,5.0,3.9,2.9
baseline,4.0,3.8,3.9,3.8,1.0,1.0,2.9166666666666665
ctgan,5.0,4.8,4.3,4.6,2.0,4.2,4.15
