method,knn,lr,mlp,rf,xgboost,AVG_RANK
tabebm,1.6,1.1,1.6,1.9,1.3,1.5000000000000002
tvae,2.3,1.9,3.6,2.6,2.0,2.4799999999999995
baseline,2.7,3.0,2.9,3.4,2.9,2.98
smote,3.7,4.0,3.5,4.1,3.9,3.84
ctgan,4.7,5.0,3.4,3.0,4.9,4.2
