method,knn,lr,mlp,rf,tabpfn,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,0.0,0.0,1.4400000000000048,0.01999999999999602,0.0,0.0,0.24333333333333348
smote,15.400000000000006,-0.20000000000000995,1.3999999999999986,1.480000000000004,-20.54,-9.520000000000003,-1.9966666666666673
tabebm,13.220000000000006,-0.5800000000000054,1.8200000000000003,4.359999999999999,-10.479999999999997,-3.260000000000005,0.8466666666666663
tvae,14.140000000000008,-0.4200000000000088,1.1200000000000045,2.9200000000000017,-6.600000000000001,-10.380000000000003,0.1300000000000002
