method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tvae,1.8,2.2,2.5,1.8,2.3,1.4,2.0000000000000004
tabebm,3.6,1.5,2.7,2.4,4.6,2.3,2.8499999999999996
smote,3.2,3.1,3.7,3.4,2.9,2.9,3.1999999999999997
baseline,2.7,3.6,3.7,3.7,2.1,3.7,3.25
ctgan,3.7,4.6,2.4,3.7,3.1,4.7,3.7000000000000006
