method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tabebm,1.9,1.3,1.7,1.3,3.3,1.7,1.8666666666666665
smote,1.1,2.8,2.9,2.1,3.9,2.5,2.5500000000000003
baseline,4.0,2.6,2.0,3.6,1.9,3.4,2.9166666666666665
ctgan,5.0,3.3,3.8,3.8,2.9,4.2,3.8333333333333335
tvae,3.0,5.0,4.6,4.2,3.0,3.2,3.8333333333333335
