method,knn,lr,mlp,rf,tabpfn,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,0.0,0.0,-0.05570000000000164,0.3212400000000031,0.0,0.0,0.04425666666666691
smote,3.49930999999998,2.9316499999999905,0.4147100000000137,0.8337900000000076,-0.23232000000000141,-0.18043999999999016,1.2111166666666666
tabebm,3.4150399999999905,0.8236699999999928,0.43406000000000233,1.0006400000000042,-0.6949400000000026,0.8476200000000063,0.971014999999999
tvae,-0.07734000000000663,-2.531310000000005,-2.7200699999999927,-1.9408699999999897,-1.9792700000000139,-0.8606400000000036,-1.6849166666666686
