,mean,mean,mean,mean,mean,std,std,std,std,std
classifier,knn,lr,mlp,rf,xgboost,knn,lr,mlp,rf,xgboost
method,,,,,,,,,,
baseline,25.26115,28.74722,39.11638,53.77791,44.98952,1.9558996947980514,2.7512842168299834,2.738229112969022,3.0393682309358674,2.5142346521799066
ctgan,25.26115,28.74722,38.360079999999996,52.493730000000006,44.98952,1.9558996947980514,2.7512842168299834,2.399527002834794,2.165468084400125,2.5142346521799066
smote,25.26115,28.74722,39.110850000000006,53.28383,44.98952,1.9558996947980514,2.7512842168299834,2.6396914715549613,3.989632380460917,2.5142346521799066
tabebm,34.98389,35.881209999999996,39.43148,53.074839999999995,48.0346,3.0668112503778984,3.0043291284596476,3.0230996935816266,3.4266296256752877,3.293867715417041
tvae,34.527910000000006,33.25712,40.71728,54.20326,47.48277,3.2140664379671247,2.814846279126291,3.657213866927178,3.5684035463121773,3.7852519875168147
