method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tabebm,1.8,2.3,1.1,2.0,3.9,1.6,2.1166666666666667
smote,2.0,2.0,2.6,2.9,3.0,2.8,2.5500000000000003
baseline,2.6,1.7,3.3,4.6,1.1,4.0,2.883333333333333
tvae,5.0,5.0,5.0,1.1,3.3,1.6,3.5000000000000004
ctgan,3.6,4.0,3.0,4.4,3.7,5.0,3.9499999999999997
