method,knn,lr,mlp,rf,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,0.0,-0.159860000000009,0.1186000000000007,-0.1084899999999891,-0.40931000000000495,-0.11181200000000047
smote,7.335970000000003,-0.017989999999997508,-0.2327499999999958,1.3781200000000098,0.9477299999999786,1.8822159999999997
tabebm,5.660520000000005,0.6583299999999923,0.5217499999999973,1.714970000000008,3.9240199999999845,2.4959179999999974
tvae,2.5687500000000085,-2.1620599999999968,-1.9143499999999989,-1.6657999999999902,1.4576099999999883,-0.3431699999999978
