,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
classifier,knn,lr,mlp,rf,tabpfn,xgboost,knn,lr,mlp,rf,tabpfn,xgboost
method,,,,,,,,,,,,
baseline,80.53039,93.62048999999999,85.74668,63.15366,98.13773,65.47577,3.8920661760532527,3.868446107059294,3.761283761578101,2.03468410226256,2.455302220840987,3.526468185986908
ctgan,80.53039,93.62048999999999,85.08008,63.500299999999996,98.13773,65.47577,3.8920661760532527,3.868446107059294,2.748361952064458,2.7741160638220497,2.455302220840987,3.526468185986908
smote,82.12865,94.68145,85.7534,73.55774,94.75606,81.63884,3.5454888511866534,4.106928401088417,5.0019907774582855,3.8102260041455076,5.264776454935617,8.19825858788181
tabebm,82.20599999999999,96.53265999999999,88.58744,77.41175000000001,89.13029,86.56353,2.482362450928102,2.60808177368391,3.9351088600500534,5.36972929366297,5.917958919434223,7.492537455517548
tvae,70.72139999999999,73.56781,74.82943,82.77686,97.10681,87.64031,3.9511090485246454,4.442721262532185,5.8286558707914065,4.737592390937261,2.3118588184739077,6.1841487730864495
