method,knn,lr,mlp,rf,xgboost,AVG_RANK
tabebm,1.1,2.9,2.9,2.5,1.2,2.12
baseline,2.9,1.4,2.9,2.8,2.9,2.58
smote,3.9,2.4,2.4,2.8,3.9,3.08
tvae,2.2,4.9,4.2,4.2,2.1,3.5200000000000005
ctgan,4.9,3.4,2.6,2.7,4.9,3.7
