method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tabebm,1.6,2.1,2.2,1.5,3.4,1.2,2.0
smote,1.4,2.7,2.7,1.9,4.1,2.9,2.6166666666666667
baseline,4.0,2.1,2.9,3.2,1.9,3.1,2.8666666666666667
ctgan,5.0,3.1,2.5,3.4,2.9,4.1,3.5
tvae,3.0,5.0,4.7,5.0,2.7,3.7,4.016666666666667
