method,knn,lr,mlp,rf,xgboost,AVG_RANK
tabebm,1.0,1.0,2.8,2.6,1.3,1.7400000000000002
tvae,2.0,3.5,2.9,3.4,1.7,2.7
baseline,3.0,2.5,3.6,2.7,3.0,2.96
smote,4.0,3.5,2.7,2.9,4.0,3.4200000000000004
ctgan,5.0,4.5,3.0,3.4,5.0,4.18
