=== clinical n=100 on GPU 0 ===

============================================================
Dataset: clinical, N_real: 100, GPUs: [0]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[0], cpu_jobs=6

[1/4] Loading dataset...
  Loaded clinical: 48790 samples, 14 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [91/300] split=3 baseline +       lr -> 72.32% (0.0s)
  [92/300] split=3 baseline +      knn -> 70.61% (0.0s)
  [93/300] split=3 baseline +      mlp -> 72.37% (0.4s)
  [94/300] split=3 baseline +       rf -> 72.83% (0.1s)
  [95/300] split=3 baseline +  xgboost -> 73.77% (0.1s)
  [96/300] split=3 baseline +   tabpfn -> 70.90% (0.7s)
  [97/300] split=3    smote +       lr -> 72.61% (0.0s)
  [98/300] split=3    smote +      knn -> 71.18% (0.0s)
  [99/300] split=3    smote +      mlp -> 74.82% (3.2s)
  [100/300] split=3    smote +       rf -> 73.99% (0.3s)
  [101/300] split=3    smote +  xgboost -> 73.46% (1.0s)
  [102/300] split=3    smote +   tabpfn -> 74.87% (1.5s)
  [103/300] split=3   tabebm +       lr -> 74.96% (0.0s)
  [104/300] split=3   tabebm +      knn -> 68.75% (0.0s)
  [105/300] split=3   tabebm +      mlp -> 72.81% (1.0s)
  [106/300] split=3   tabebm +       rf -> 75.24% (0.2s)
  [107/300] split=3   tabebm +  xgboost -> 72.65% (0.1s)
  [108/300] split=3   tabebm +   tabpfn -> 72.79% (0.7s)
  [109/300] split=3     tvae +       lr -> 71.43% (0.0s)
  [110/300] split=3     tvae +      knn -> 73.55% (0.0s)
  [111/300] split=3     tvae +      mlp -> 72.68% (2.5s)
  [112/300] split=3     tvae +       rf -> 73.62% (0.2s)
  [113/300] split=3     tvae +  xgboost -> 76.36% (0.2s)
  [114/300] split=3     tvae +   tabpfn -> 74.17% (0.7s)
  [115/300] split=3    ctgan +       lr -> 72.32% (0.1s)
  [116/300] split=3    ctgan +      knn -> 70.61% (0.0s)
  [117/300] split=3    ctgan +      mlp -> 75.07% (1.3s)
  [118/300] split=3    ctgan +       rf -> 72.43% (0.2s)
  [119/300] split=3    ctgan +  xgboost -> 73.77% (0.3s)
  [120/300] split=3    ctgan +   tabpfn -> 70.90% (1.7s)
  [121/300] split=4 baseline +       lr -> 68.16% (0.0s)
  [122/300] split=4 baseline +      knn -> 65.44% (0.0s)
  [123/300] split=4 baseline +      mlp -> 65.96% (0.5s)
  [124/300] split=4 baseline +       rf -> 68.97% (0.2s)
  [125/300] split=4 baseline +  xgboost -> 66.18% (0.4s)
  [126/300] split=4 baseline +   tabpfn -> 70.59% (1.2s)
  [127/300] split=4    smote +       lr -> 71.82% (0.0s)
  [128/300] split=4    smote +      knn -> 67.15% (0.0s)
  [129/300] split=4    smote +      mlp -> 66.56% (1.1s)
  [130/300] split=4    smote +       rf -> 71.51% (0.2s)
  [131/300] split=4    smote +  xgboost -> 68.38% (0.3s)
  [132/300] split=4    smote +   tabpfn -> 70.37% (1.4s)
  [133/300] split=4   tabebm +       lr -> 72.30% (0.0s)
  [134/300] split=4   tabebm +      knn -> 66.25% (0.0s)
  [135/300] split=4   tabebm +      mlp -> 66.82% (0.5s)
  [136/300] split=4   tabebm +       rf -> 72.21% (0.2s)
  [137/300] split=4   tabebm +  xgboost -> 68.90% (0.1s)
  [138/300] split=4   tabebm +   tabpfn -> 67.59% (0.7s)
  [139/300] split=4     tvae +       lr -> 74.54% (0.1s)
  [140/300] split=4     tvae +      knn -> 73.25% (0.0s)
  [141/300] split=4     tvae +      mlp -> 70.00% (4.9s)
  [142/300] split=4     tvae +       rf -> 69.87% (0.2s)
  [143/300] split=4     tvae +  xgboost -> 72.15% (0.1s)
  [144/300] split=4     tvae +   tabpfn -> 73.27% (1.1s)
  [145/300] split=4    ctgan +       lr -> 68.16% (0.0s)
  [146/300] split=4    ctgan +      knn -> 65.44% (0.0s)
  [147/300] split=4    ctgan +      mlp -> 65.31% (1.3s)
  [148/300] split=4    ctgan +       rf -> 70.90% (0.2s)
  [149/300] split=4    ctgan +  xgboost -> 66.18% (0.4s)
  [150/300] split=4    ctgan +   tabpfn -> 70.59% (1.5s)
  [151/300] split=5 baseline +       lr -> 63.95% (0.0s)
  [152/300] split=5 baseline +      knn -> 57.92% (0.0s)
  [153/300] split=5 baseline +      mlp -> 61.89% (0.8s)
  [154/300] split=5 baseline +       rf -> 61.84% (0.3s)
  [155/300] split=5 baseline +  xgboost -> 60.79% (1.2s)
  [156/300] split=5 baseline +   tabpfn -> 62.70% (1.3s)
  [157/300] split=5    smote +       lr -> 64.39% (0.0s)
  [158/300] split=5    smote +      knn -> 62.19% (0.0s)
  [159/300] split=5    smote +      mlp -> 61.01% (4.2s)
  [160/300] split=5    smote +       rf -> 58.11% (0.3s)
  [161/300] split=5    smote +  xgboost -> 60.81% (1.3s)
  [162/300] split=5    smote +   tabpfn -> 64.01% (2.2s)
  [163/300] split=5   tabebm +       lr -> 64.85% (0.0s)
  [164/300] split=5   tabebm +      knn -> 63.05% (0.0s)
  [165/300] split=5   tabebm +      mlp -> 62.48% (1.1s)
  [166/300] split=5   tabebm +       rf -> 60.77% (0.2s)
  [167/300] split=5   tabebm +  xgboost -> 62.48% (0.1s)
  [168/300] split=5   tabebm +   tabpfn -> 61.07% (0.7s)
  [169/300] split=5     tvae +       lr -> 64.01% (0.1s)
  [170/300] split=5     tvae +      knn -> 62.87% (0.0s)
  [171/300] split=5     tvae +      mlp -> 66.07% (1.9s)
  [172/300] split=5     tvae +       rf -> 62.87% (0.2s)
  [173/300] split=5     tvae +  xgboost -> 62.76% (0.5s)
  [174/300] split=5     tvae +   tabpfn -> 61.86% (1.3s)
  [175/300] split=5    ctgan +       lr -> 63.95% (0.0s)
  [176/300] split=5    ctgan +      knn -> 57.92% (0.0s)
  [177/300] split=5    ctgan +      mlp -> 60.68% (1.2s)
  [178/300] split=5    ctgan +       rf -> 60.86% (0.2s)
  [179/300] split=5    ctgan +  xgboost -> 60.79% (0.1s)
  [180/300] split=5    ctgan +   tabpfn -> 62.70% (1.3s)
  [181/300] split=6 baseline +       lr -> 62.15% (0.1s)
  [182/300] split=6 baseline +      knn -> 66.43% (0.0s)
  [183/300] split=6 baseline +      mlp -> 66.80% (1.4s)
  [184/300] split=6 baseline +       rf -> 68.25% (0.2s)
  [185/300] split=6 baseline +  xgboost -> 68.09% (0.4s)
  [186/300] split=6 baseline +   tabpfn -> 71.58% (1.4s)
  [187/300] split=6    smote +       lr -> 65.44% (0.1s)
  [188/300] split=6    smote +      knn -> 61.58% (0.0s)
  [189/300] split=6    smote +      mlp -> 65.15% (4.7s)
  [190/300] split=6    smote +       rf -> 69.23% (0.3s)
  [191/300] split=6    smote +  xgboost -> 69.87% (0.1s)
  [192/300] split=6    smote +   tabpfn -> 71.03% (1.9s)
  [193/300] split=6   tabebm +       lr -> 70.02% (0.0s)
  [194/300] split=6   tabebm +      knn -> 63.27% (0.0s)
  [195/300] split=6   tabebm +      mlp -> 67.39% (1.4s)
  [196/300] split=6   tabebm +       rf -> 69.61% (0.2s)
  [197/300] split=6   tabebm +  xgboost -> 70.18% (0.1s)
  [198/300] split=6   tabebm +   tabpfn -> 62.24% (0.7s)
  [199/300] split=6     tvae +       lr -> 68.03% (0.0s)
  [200/300] split=6     tvae +      knn -> 67.96% (0.0s)
  [201/300] split=6     tvae +      mlp -> 65.81% (4.3s)
  [202/300] split=6     tvae +       rf -> 70.07% (0.2s)
  [203/300] split=6     tvae +  xgboost -> 68.44% (0.1s)
  [204/300] split=6     tvae +   tabpfn -> 73.95% (1.1s)
  [205/300] split=6    ctgan +       lr -> 62.15% (0.0s)
  [206/300] split=6    ctgan +      knn -> 66.43% (0.0s)
  [207/300] split=6    ctgan +      mlp -> 65.53% (1.6s)
  [208/300] split=6    ctgan +       rf -> 69.65% (0.2s)
  [209/300] split=6    ctgan +  xgboost -> 68.09% (0.2s)
  [210/300] split=6    ctgan +   tabpfn -> 71.58% (1.3s)
  [211/300] split=7 baseline +       lr -> 71.03% (0.0s)
  [212/300] split=7 baseline +      knn -> 68.46% (0.0s)
  [213/300] split=7 baseline +      mlp -> 69.65% (0.9s)
  [214/300] split=7 baseline +       rf -> 71.34% (0.2s)
  [215/300] split=7 baseline +  xgboost -> 69.30% (1.6s)
  [216/300] split=7 baseline +   tabpfn -> 74.50% (1.3s)
  [217/300] split=7    smote +       lr -> 72.13% (0.1s)
  [218/300] split=7    smote +      knn -> 66.97% (0.0s)
  [219/300] split=7    smote +      mlp -> 69.82% (2.4s)
  [220/300] split=7    smote +       rf -> 70.72% (0.3s)
  [221/300] split=7    smote +  xgboost -> 71.97% (1.2s)
  [222/300] split=7    smote +   tabpfn -> 70.72% (1.5s)
  [223/300] split=7   tabebm +       lr -> 72.61% (0.0s)
  [224/300] split=7   tabebm +      knn -> 68.03% (0.0s)
  [225/300] split=7   tabebm +      mlp -> 69.58% (0.5s)
  [226/300] split=7   tabebm +       rf -> 71.23% (0.2s)
  [227/300] split=7   tabebm +  xgboost -> 71.73% (0.1s)
  [228/300] split=7   tabebm +   tabpfn -> 67.79% (0.7s)
  [229/300] split=7     tvae +       lr -> 72.30% (0.0s)
  [230/300] split=7     tvae +      knn -> 74.65% (0.0s)
