,mean,mean,mean,mean,mean,std,std,std,std,std
classifier,knn,lr,mlp,rf,xgboost,knn,lr,mlp,rf,xgboost
method,,,,,,,,,,
baseline,15.56193,16.45684,16.81012,16.03906,14.17567,1.8766101614051034,2.3107207500883544,2.365308474972721,2.3592470245115638,1.3315161709286316
ctgan,15.56193,16.45684,17.062469999999998,16.24866,14.17567,1.8766101614051034,2.3107207500883544,2.2165929466688783,2.212925692983536,1.3315161709286316
smote,18.52156,16.07357,16.8357,16.52148,14.3577,1.796650229485725,1.8846254240564608,2.0112634066951824,2.12950326748334,1.6102864327676476
tabebm,17.78979,16.81954,17.50142,17.75752,14.831639999999998,1.6304403443718984,1.5433722415541877,2.202580128848891,2.327196567546455,2.0678567037179123
tvae,19.67079,17.03257,17.01302,16.568279999999998,14.65532,2.6072826597180954,1.8583443784724076,2.0750737833200588,1.88281107968319,1.4667633807506615
