method,knn,lr,mlp,rf,xgboost,AVG_RANK
tabebm,1.7,2.7,2.1,1.9,1.6,2.0
smote,1.6,2.4,2.7,2.4,2.1,2.2399999999999998
baseline,3.7,1.8,2.7,3.5,3.3,3.0
ctgan,4.7,3.1,3.1,2.5,4.3,3.54
tvae,3.3,5.0,4.4,4.7,3.7,4.220000000000001
