method,knn,lr,mlp,rf,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,0.0,0.0,0.43309999999999604,0.3356500000000082,0.0,0.15375000000000086
smote,0.0,0.0,0.592880000000001,0.5799400000000006,0.0,0.2345640000000003
tabebm,13.333869999999997,-0.07303000000000281,-0.3048300000000026,1.3403200000000055,8.04878,4.469022
tvae,4.21443,-5.160660000000004,-3.067720000000005,-3.4723299999999995,5.167770000000004,-0.46370200000000067
