method,knn,lr,mlp,rf,xgboost,AVG_RANK
tvae,1.5,2.6,3.4,2.5,2.5,2.5
baseline,2.5,2.8,2.7,3.0,3.4,2.88
tabebm,4.2,2.9,3.0,2.4,3.2,3.1399999999999997
ctgan,2.9,3.6,1.8,4.0,3.8,3.22
smote,3.9,3.1,4.1,3.1,2.1,3.2600000000000002
