method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
baseline,2.0,2.2,2.2,4.3,2.2,3.0,2.65
tabebm,4.1,3.0,2.6,1.2,4.4,2.1,2.9
tvae,2.3,4.1,4.1,3.0,2.1,2.8,3.0666666666666664
smote,3.6,2.5,3.4,3.2,3.0,3.1,3.1333333333333333
ctgan,3.0,3.2,2.7,3.3,3.3,4.0,3.25
