method,knn,lr,mlp,rf,tabpfn,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,0.0,0.0,-0.26815000000000566,0.7843400000000003,0.0,0.0,0.08603166666666577
smote,-1.876589999999993,0.5867100000000107,-0.6263200000000211,0.6287899999999951,-1.075099999999992,0.04717000000000837,-0.3858899999999987
tabebm,-2.267819999999986,-0.07963999999999771,0.03538999999999248,3.5818199999999933,-2.80377,1.2199799999999925,-0.05234000000000094
tvae,0.6638700000000028,-1.5220199999999977,-1.2678099999999972,1.266539999999992,0.3398300000000063,0.8226600000000133,0.05051166666666992
