,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
classifier,knn,lr,mlp,rf,tabpfn,xgboost,knn,lr,mlp,rf,tabpfn,xgboost
method,,,,,,,,,,,,
baseline,74.61191,78.46504,77.8809,74.96309,76.77165,74.14362,2.9726008890270523,2.9199069753827605,3.040852584391426,3.78547343360848,4.099427422146226,2.0915744764809774
ctgan,74.61191,78.46504,77.62222,74.39845,76.77165,74.14362,2.9726008890270523,2.9199069753827605,3.0805762721355316,3.926315893005393,4.099427422146226,2.0915744764809774
smote,74.98686000000001,77.62296,77.25460000000001,75.61585,74.99035,74.94743,3.560639864219166,3.3384257105541337,3.311446337243658,3.9297016132836884,4.235468382665081,3.6400832930183245
tabebm,72.49754,77.59158,77.33782,76.8699,74.53576000000001,75.84271,4.298923556013112,3.6018209492792193,3.196857145802212,3.8905490283791857,4.073120153505037,4.909694344287974
tvae,76.70901,78.57907,77.69901,76.17495,77.87625,75.44539,4.23166397202225,3.0693289788015745,4.041791065975576,4.015666530879052,3.802478596404071,4.910528628807019
