method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tabebm,1.4,2.7,2.4,2.0,4.0,2.7,2.533333333333333
baseline,3.5,2.1,3.1,3.4,1.3,2.6,2.6666666666666665
smote,1.8,2.6,3.3,2.9,4.5,3.7,3.1333333333333333
ctgan,4.5,3.2,2.1,3.1,2.3,3.7,3.15
tvae,3.8,4.4,4.1,3.6,2.9,2.3,3.516666666666666
