method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
smote,1.7,1.7,1.7,2.7,3.5,2.9,2.3666666666666667
baseline,2.9,2.1,3.3,2.8,1.8,2.8,2.616666666666667
tabebm,2.5,3.1,2.5,2.8,3.4,2.8,2.8499999999999996
ctgan,4.3,3.1,3.3,3.0,2.9,3.9,3.416666666666666
tvae,3.6,5.0,4.2,3.7,3.4,2.6,3.75
