method,knn,lr,mlp,rf,tabpfn,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,0.0,0.0,0.06575999999999738,0.02195000000000391,0.0,0.0,0.014618333333333547
smote,13.933489999999992,-0.12282999999999333,0.20834999999999582,1.3739299999999872,-1.2471500000000049,0.257630000000006,2.400569999999997
tabebm,12.89175999999999,0.21736000000001354,0.35320999999999003,1.99606,-0.7330299999999994,2.7550800000000066,2.913406666666667
tvae,7.070599999999999,-1.6358199999999954,-2.106320000000011,-2.0301800000000014,-0.3796600000000012,-0.12072000000000571,0.1329833333333307
