,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
classifier,knn,lr,mlp,rf,tabpfn,xgboost,knn,lr,mlp,rf,tabpfn,xgboost
method,,,,,,,,,,,,
baseline,59.7,67.6,65.16,73.24,76.5,65.72,3.2974737805376595,1.2788884062167243,2.0106383729220587,2.2287016648962057,1.4149990184527461,3.1793779964710773
ctgan,59.7,67.38,65.1,70.02000000000001,74.16,64.02,3.2974737805376595,1.0643725329455314,2.3079572497485037,2.261661139762345,1.184342292864131,3.277465145165964
smote,67.62,67.1,64.9,73.24,64.64,65.74,1.6745148551147555,1.4181364924121742,2.74266699076323,2.449126828529351,2.8655811898383807,3.479527426405936
tabebm,64.53999999999999,67.36,65.52,74.06,70.72,68.47999999999999,1.8951399831029776,1.312503968247968,1.8837315213279306,1.9299971214716594,2.3573996974067306,2.385511824885107
tvae,66.67999999999999,67.46000000000001,63.54,73.1,73.22,66.6,2.582333139709985,1.8087441929569759,1.9460501306778046,1.589549202342182,1.9651406508893412,2.4997777679003548
