method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tvae,1.3,2.4,2.9,2.8,1.8,3.3,2.4166666666666665
smote,3.3,2.9,3.1,3.2,2.0,2.2,2.783333333333333
tabebm,3.2,2.1,2.1,2.1,4.3,3.0,2.8000000000000003
ctgan,3.0,4.1,3.5,2.9,2.7,2.8,3.1666666666666665
baseline,4.2,3.5,3.4,4.0,4.2,3.7,3.8333333333333335
