,mean,mean,mean,mean,mean,std,std,std,std,std
classifier,knn,lr,mlp,rf,xgboost,knn,lr,mlp,rf,xgboost
method,,,,,,,,,,
baseline,13.629589999999999,12.201089999999999,15.91611,14.89373,12.877019999999998,1.6643379567663932,0.9007356431149921,1.868166585749545,2.179965405459454,1.7561613509773717
ctgan,13.629589999999999,12.201089999999999,15.26396,15.34101,12.877019999999998,1.6643379567663932,0.9007356431149921,2.317649353307978,2.1283703867565493,1.7561613509773717
smote,13.629589999999999,12.201089999999999,15.4291,14.584790000000002,12.877019999999998,1.6643379567663932,0.9007356431149921,1.9309261059571043,1.6953644966659989,1.7561613509773717
tabebm,16.33106,19.03339,17.13183,16.42479,16.06606,1.657528499637672,3.0593670301950446,1.3967871754295438,1.706405630720772,1.5371844103930907
tvae,15.490829999999999,14.93742,15.526900000000001,16.0923,14.46854,1.0046174385749467,1.5468082857577694,1.430378830162757,2.369561692240431,1.6541677512674864
