method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tabebm,1.4,1.3,2.2,2.4,2.5,2.6,2.066666666666667
smote,1.6,1.7,2.8,2.4,2.3,1.9,2.1166666666666667
tvae,4.6,5.0,5.0,1.2,1.6,1.5,3.15
baseline,3.2,3.0,2.2,4.4,3.8,4.0,3.4333333333333336
ctgan,4.2,4.0,2.8,4.6,4.8,5.0,4.233333333333333
