method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tabebm,2.3,1.0,1.2,2.1,4.9,1.8,2.216666666666667
smote,2.0,2.0,2.6,2.8,3.1,2.7,2.533333333333333
baseline,2.3,3.0,2.8,4.7,1.5,4.0,3.0500000000000003
tvae,5.0,5.0,5.0,1.1,2.8,1.5,3.4000000000000004
ctgan,3.4,4.0,3.4,4.3,2.7,5.0,3.8000000000000003
