method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
tabebm,1.3,2.2,3.1,1.7,3.1,1.1,2.083333333333333
smote,1.7,3.0,2.9,2.0,2.9,3.0,2.5833333333333335
baseline,4.0,1.5,2.4,2.8,2.3,3.4,2.733333333333333
ctgan,5.0,3.4,2.7,4.4,2.8,3.9,3.6999999999999997
tvae,3.0,4.9,3.9,4.1,3.9,3.6,3.9000000000000004
