method,knn,lr,mlp,rf,xgboost,AVG_RANK
tabebm,2.0,1.1,1.8,1.7,1.1,1.5400000000000003
smote,1.1,2.8,2.9,1.9,3.3,2.4
baseline,4.0,2.6,2.7,3.6,3.9,3.3600000000000003
ctgan,5.0,3.5,2.7,3.5,4.3,3.8
tvae,2.9,5.0,4.9,4.3,2.4,3.9
