method,knn,lr,mlp,rf,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,-0.1193599999999968,-0.5232700000000001,0.3413700000000013,-1.1023500000000013,-0.5419499999999964,-0.3891119999999987
smote,-1.6012699999999995,-0.07377999999999929,-0.6357900000000001,-0.5677200000000013,0.4861399999999989,-0.47848400000000024
tabebm,-2.130029999999998,0.14892000000000039,-0.19679999999999964,0.37151999999999674,0.2562899999999999,-0.3100200000000001
tvae,1.789710000000003,0.23017999999999716,-0.13537999999999784,0.49561999999999884,0.8090200000000003,0.6378300000000003
