method,knn,lr,mlp,rf,xgboost,AVG_RANK
tabebm,1.4,2.8,2.2,2.1,2.2,2.1399999999999997
baseline,2.5,1.6,2.7,2.9,2.2,2.38
smote,3.5,2.6,3.8,2.8,3.2,3.1799999999999997
ctgan,4.5,3.6,2.5,2.6,4.2,3.4799999999999995
tvae,3.1,4.4,3.8,4.6,3.2,3.8200000000000003
