=== auction n=100 on GPU 3 ===

============================================================
Dataset: auction, N_real: 100, GPUs: [3]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[3], cpu_jobs=6

[1/4] Loading dataset...
  Loaded auction: 1470 samples, 34 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [92/300] split=3 baseline +      knn -> 53.63% (0.1s)
  [93/300] split=3 baseline +      mlp -> 57.77% (0.5s)
  [94/300] split=3 baseline +       rf -> 53.84% (0.2s)
  [95/300] split=3 baseline +  xgboost -> 59.96% (0.1s)
  [96/300] split=3 baseline +   tabpfn -> 60.54% (1.0s)
  [97/300] split=3    smote +       lr -> 59.52% (0.3s)
  [98/300] split=3    smote +      knn -> 58.19% (0.2s)
  [99/300] split=3    smote +      mlp -> 60.12% (1.0s)
  [100/300] split=3    smote +       rf -> 57.09% (0.2s)
  [101/300] split=3    smote +  xgboost -> 61.09% (0.1s)
  [102/300] split=3    smote +   tabpfn -> 57.99% (0.7s)
  [103/300] split=3   tabebm +       lr -> 60.84% (0.5s)
  [104/300] split=3   tabebm +      knn -> 56.66% (0.2s)
  [105/300] split=3   tabebm +      mlp -> 59.92% (1.5s)
  [106/300] split=3   tabebm +       rf -> 57.97% (0.3s)
  [107/300] split=3   tabebm +  xgboost -> 61.83% (0.1s)
  [108/300] split=3   tabebm +   tabpfn -> 52.99% (1.0s)
  [109/300] split=3     tvae +       lr -> 57.55% (0.4s)
  [110/300] split=3     tvae +      knn -> 60.06% (0.3s)
  [111/300] split=3     tvae +      mlp -> 56.98% (0.6s)
  [112/300] split=3     tvae +       rf -> 54.98% (0.2s)
  [113/300] split=3     tvae +  xgboost -> 60.58% (0.2s)
  [114/300] split=3     tvae +   tabpfn -> 54.14% (1.2s)
  [115/300] split=3    ctgan +       lr -> 59.12% (0.0s)
  [116/300] split=3    ctgan +      knn -> 53.63% (0.1s)
  [117/300] split=3    ctgan +      mlp -> 58.15% (0.6s)
  [118/300] split=3    ctgan +       rf -> 53.60% (0.2s)
  [119/300] split=3    ctgan +  xgboost -> 59.96% (0.1s)
  [120/300] split=3    ctgan +   tabpfn -> 60.54% (0.9s)
  [121/300] split=4 baseline +       lr -> 56.87% (0.1s)
  [122/300] split=4 baseline +      knn -> 53.51% (0.1s)
  [123/300] split=4 baseline +      mlp -> 55.26% (1.0s)
  [124/300] split=4 baseline +       rf -> 50.62% (0.2s)
  [125/300] split=4 baseline +  xgboost -> 53.27% (0.1s)
  [126/300] split=4 baseline +   tabpfn -> 50.00% (0.7s)
  [127/300] split=4    smote +       lr -> 57.73% (0.2s)
  [128/300] split=4    smote +      knn -> 53.99% (0.1s)
  [129/300] split=4    smote +      mlp -> 57.17% (0.4s)
  [130/300] split=4    smote +       rf -> 51.12% (0.2s)
  [131/300] split=4    smote +  xgboost -> 53.27% (0.1s)
  [132/300] split=4    smote +   tabpfn -> 55.74% (0.7s)
  [133/300] split=4   tabebm +       lr -> 61.44% (0.2s)
  [134/300] split=4   tabebm +      knn -> 57.34% (0.2s)
  [135/300] split=4   tabebm +      mlp -> 55.06% (0.3s)
  [136/300] split=4   tabebm +       rf -> 50.76% (0.2s)
  [137/300] split=4   tabebm +  xgboost -> 52.39% (0.1s)
  [138/300] split=4   tabebm +   tabpfn -> 50.50% (1.0s)
  [139/300] split=4     tvae +       lr -> 61.04% (0.2s)
  [140/300] split=4     tvae +      knn -> 57.18% (0.4s)
  [141/300] split=4     tvae +      mlp -> 59.41% (4.4s)
  [142/300] split=4     tvae +       rf -> 52.49% (0.3s)
  [143/300] split=4     tvae +  xgboost -> 58.86% (1.3s)
  [144/300] split=4     tvae +   tabpfn -> 49.96% (0.9s)
  [145/300] split=4    ctgan +       lr -> 56.87% (0.0s)
  [146/300] split=4    ctgan +      knn -> 53.51% (0.1s)
  [147/300] split=4    ctgan +      mlp -> 55.38% (0.2s)
  [148/300] split=4    ctgan +       rf -> 49.88% (0.2s)
  [149/300] split=4    ctgan +  xgboost -> 53.27% (0.1s)
  [150/300] split=4    ctgan +   tabpfn -> 50.00% (0.7s)
  [151/300] split=5 baseline +       lr -> 65.12% (0.0s)
  [152/300] split=5 baseline +      knn -> 50.52% (0.1s)
  [153/300] split=5 baseline +      mlp -> 60.65% (0.1s)
  [154/300] split=5 baseline +       rf -> 51.85% (0.2s)
  [155/300] split=5 baseline +  xgboost -> 57.45% (0.1s)
  [156/300] split=5 baseline +   tabpfn -> 50.00% (0.7s)
  [157/300] split=5    smote +       lr -> 68.39% (0.2s)
  [158/300] split=5    smote +      knn -> 57.65% (0.1s)
  [159/300] split=5    smote +      mlp -> 64.90% (0.4s)
  [160/300] split=5    smote +       rf -> 59.40% (0.2s)
  [161/300] split=5    smote +  xgboost -> 60.34% (0.1s)
  [162/300] split=5    smote +   tabpfn -> 63.02% (0.7s)
  [163/300] split=5   tabebm +       lr -> 71.84% (0.2s)
  [164/300] split=5   tabebm +      knn -> 55.23% (0.1s)
  [165/300] split=5   tabebm +      mlp -> 65.54% (0.3s)
  [166/300] split=5   tabebm +       rf -> 54.46% (0.2s)
  [167/300] split=5   tabebm +  xgboost -> 59.46% (0.1s)
  [168/300] split=5   tabebm +   tabpfn -> 51.02% (0.7s)
  [169/300] split=5     tvae +       lr -> 66.77% (0.4s)
  [170/300] split=5     tvae +      knn -> 69.68% (0.2s)
  [171/300] split=5     tvae +      mlp -> 65.98% (4.1s)
  [172/300] split=5     tvae +       rf -> 58.78% (0.2s)
  [173/300] split=5     tvae +  xgboost -> 64.04% (0.2s)
  [174/300] split=5     tvae +   tabpfn -> 64.10% (1.1s)
  [175/300] split=5    ctgan +       lr -> 65.12% (0.1s)
  [176/300] split=5    ctgan +      knn -> 50.52% (0.1s)
  [177/300] split=5    ctgan +      mlp -> 60.54% (0.1s)
  [178/300] split=5    ctgan +       rf -> 51.23% (0.2s)
  [179/300] split=5    ctgan +  xgboost -> 57.45% (0.1s)
  [180/300] split=5    ctgan +   tabpfn -> 50.00% (0.4s)
  [181/300] split=6 baseline +       lr -> 66.55% (0.0s)
  [182/300] split=6 baseline +      knn -> 50.76% (0.1s)
  [183/300] split=6 baseline +      mlp -> 65.16% (0.1s)
  [184/300] split=6 baseline +       rf -> 52.85% (0.2s)
  [185/300] split=6 baseline +  xgboost -> 60.56% (0.1s)
  [186/300] split=6 baseline +   tabpfn -> 60.68% (0.7s)
  [187/300] split=6    smote +       lr -> 68.92% (0.1s)
  [188/300] split=6    smote +      knn -> 58.35% (0.1s)
  [189/300] split=6    smote +      mlp -> 65.93% (0.4s)
  [190/300] split=6    smote +       rf -> 57.55% (0.2s)
  [191/300] split=6    smote +  xgboost -> 59.84% (0.1s)
  [192/300] split=6    smote +   tabpfn -> 67.17% (0.7s)
  [193/300] split=6   tabebm +       lr -> 69.50% (0.2s)
  [194/300] split=6   tabebm +      knn -> 60.30% (0.1s)
  [195/300] split=6   tabebm +      mlp -> 65.58% (0.2s)
  [196/300] split=6   tabebm +       rf -> 57.31% (0.2s)
  [197/300] split=6   tabebm +  xgboost -> 62.73% (0.1s)
  [198/300] split=6   tabebm +   tabpfn -> 56.81% (0.7s)
  [199/300] split=6     tvae +       lr -> 67.83% (0.5s)
  [200/300] split=6     tvae +      knn -> 64.70% (0.3s)
  [201/300] split=6     tvae +      mlp -> 66.59% (2.3s)
  [202/300] split=6     tvae +       rf -> 54.58% (0.3s)
  [203/300] split=6     tvae +  xgboost -> 63.68% (0.2s)
  [204/300] split=6     tvae +   tabpfn -> 61.05% (1.4s)
  [205/300] split=6    ctgan +       lr -> 66.55% (0.0s)
  [206/300] split=6    ctgan +      knn -> 50.76% (0.1s)
  [207/300] split=6    ctgan +      mlp -> 65.49% (0.5s)
  [208/300] split=6    ctgan +       rf -> 52.97% (0.2s)
  [209/300] split=6    ctgan +  xgboost -> 60.56% (0.1s)
  [210/300] split=6    ctgan +   tabpfn -> 60.68% (1.2s)
  [211/300] split=7 baseline +       lr -> 61.06% (0.1s)
  [212/300] split=7 baseline +      knn -> 52.85% (0.1s)
  [213/300] split=7 baseline +      mlp -> 61.59% (0.6s)
  [214/300] split=7 baseline +       rf -> 51.12% (0.1s)
  [215/300] split=7 baseline +  xgboost -> 60.44% (0.1s)
  [216/300] split=7 baseline +   tabpfn -> 53.35% (0.7s)
  [217/300] split=7    smote +       lr -> 62.49% (0.2s)
  [218/300] split=7    smote +      knn -> 55.24% (0.1s)
  [219/300] split=7    smote +      mlp -> 62.97% (0.4s)
  [220/300] split=7    smote +       rf -> 54.60% (0.2s)
  [221/300] split=7    smote +  xgboost -> 57.61% (0.1s)
  [222/300] split=7    smote +   tabpfn -> 66.51% (0.7s)
  [223/300] split=7   tabebm +       lr -> 67.18% (0.6s)
  [224/300] split=7   tabebm +      knn -> 51.96% (0.2s)
  [225/300] split=7   tabebm +      mlp -> 63.21% (0.6s)
  [226/300] split=7   tabebm +       rf -> 55.08% (0.2s)
  [227/300] split=7   tabebm +  xgboost -> 58.35% (0.1s)
  [228/300] split=7   tabebm +   tabpfn -> 51.99% (0.7s)
  [229/300] split=7     tvae +       lr -> 67.63% (0.2s)
  [230/300] split=7     tvae +      knn -> 62.91% (0.2s)
  [231/300] split=7     tvae +      mlp -> 64.14% (3.9s)
  [232/300] split=7     tvae +       rf -> 57.93% (0.2s)
  [233/300] split=7     tvae +  xgboost -> 63.07% (0.5s)
  [234/300] split=7     tvae +   tabpfn -> 61.95% (1.0s)
  [235/300] split=7    ctgan +       lr -> 61.06% (0.0s)
  [236/300] split=7    ctgan +      knn -> 52.85% (0.1s)
  [237/300] split=7    ctgan +      mlp -> 58.13% (1.1s)
  [238/300] split=7    ctgan +       rf -> 51.12% (0.2s)
  [239/300] split=7    ctgan +  xgboost -> 60.44% (0.2s)
  [240/300] split=7    ctgan +   tabpfn -> 53.35% (0.7s)
  [241/300] split=8 baseline +       lr -> 65.72% (0.0s)
  [242/300] split=8 baseline +      knn -> 52.99% (0.1s)
  [243/300] split=8 baseline +      mlp -> 59.88% (0.1s)
  [244/300] split=8 baseline +       rf -> 53.96% (0.1s)
  [245/300] split=8 baseline +  xgboost -> 60.76% (0.1s)
  [246/300] split=8 baseline +   tabpfn -> 54.08% (0.7s)
  [247/300] split=8    smote +       lr -> 69.18% (0.1s)
  [248/300] split=8    smote +      knn -> 57.14% (0.1s)
  [249/300] split=8    smote +      mlp -> 63.84% (0.5s)
  [250/300] split=8    smote +       rf -> 57.55% (0.2s)
  [251/300] split=8    smote +  xgboost -> 60.81% (0.1s)
  [252/300] split=8    smote +   tabpfn -> 69.22% (0.7s)
  [253/300] split=8   tabebm +       lr -> 69.52% (0.2s)
  [254/300] split=8   tabebm +      knn -> 56.34% (0.1s)
  [255/300] split=8   tabebm +      mlp -> 67.57% (1.0s)
  [256/300] split=8   tabebm +       rf -> 57.45% (0.3s)
  [257/300] split=8   tabebm +  xgboost -> 59.26% (0.5s)
  [258/300] split=8   tabebm +   tabpfn -> 56.31% (1.9s)
  [259/300] split=8     tvae +       lr -> 64.76% (0.9s)
  [260/300] split=8     tvae +      knn -> 58.95% (0.2s)
  [261/300] split=8     tvae +      mlp -> 62.79% (1.5s)
  [262/300] split=8     tvae +       rf -> 57.05% (0.2s)
  [263/300] split=8     tvae +  xgboost -> 62.93% (0.1s)
  [264/300] split=8     tvae +   tabpfn -> 60.95% (1.0s)
  [265/300] split=8    ctgan +       lr -> 65.72% (0.1s)
  [266/300] split=8    ctgan +      knn -> 52.99% (0.1s)
