method,knn,lr,mlp,rf,tabpfn,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,0.0,-0.27352000000000487,-0.10002000000000066,-0.9148899999999855,0.07074999999998965,-0.20609000000001743,-0.23729500000000314
smote,2.8916300000000064,-0.2157499999999999,-0.16993999999999687,0.36809000000000935,-0.10869000000000995,0.4896699999999896,0.5425016666666664
tabebm,3.421040000000005,-0.041730000000001155,-0.28394999999999015,0.6341500000000053,-0.017139999999997713,1.4929399999999902,0.8675516666666686
tvae,1.2979800000000097,-0.8035399999999981,-0.338310000000007,-0.96159999999999,-0.18179999999999552,0.07882999999998219,-0.15140666666666647
