,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
classifier,knn,lr,mlp,rf,tabpfn,xgboost,knn,lr,mlp,rf,tabpfn,xgboost
method,,,,,,,,,,,,
baseline,74.34045,78.55104,81.55082,81.79556,81.24343999999999,75.94980000000001,7.375445957778493,4.826597062619676,4.81033484600258,4.732476148487176,6.052234979869465,6.391029936994156
ctgan,75.42716,65.10911,75.34118,72.9234,72.06303,74.69172,8.512566091921595,13.271317268492982,4.548574801163305,8.390625431992541,6.32863209742481,7.337980055210472
smote,83.36269999999999,77.97637999999999,81.75946,79.13863,80.34063,77.76861,4.450633995286514,6.2617258694388696,6.068927976211648,7.787357913817035,5.444682628859099,8.723544209456
tabebm,82.8646,78.33306,81.83654,81.92108,83.50242,78.41947,4.649673782344544,6.4416406047252055,5.290198916276947,7.03238782598849,4.555738492104705,7.566518156406039
tvae,80.02118,75.39795000000001,80.30027,78.27542,80.12252,78.02283,4.390212946695563,5.28387174654049,5.40836987785291,5.803208058728279,4.714119703802369,6.625575237927982
