method,knn,lr,mlp,rf,xgboost,AVG_RANK
tabebm,1.3,1.2,2.0,2.6,2.0,1.8199999999999998
smote,2.1,2.6,2.1,2.8,3.3,2.5800000000000005
tvae,2.6,2.4,2.4,3.2,2.7,2.66
ctgan,4.5,4.6,4.2,2.6,3.2,3.8200000000000003
baseline,4.5,4.2,4.3,3.8,3.8,4.12
