method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
baseline,2.4,2.5,2.0,3.3,2.4,2.9,2.5833333333333335
tabebm,4.0,1.9,2.9,1.9,3.5,2.6,2.8000000000000003
smote,2.1,3.2,3.9,2.8,3.0,2.7,2.9499999999999997
tvae,3.1,3.9,3.5,2.6,2.7,2.9,3.1166666666666667
ctgan,3.4,3.5,2.7,4.4,3.4,3.9,3.5500000000000003
