method,knn,lr,mlp,rf,xgboost,AVG_RANK
tvae,1.4,1.5,2.9,2.2,2.1,2.02
tabebm,2.7,2.5,3.4,2.7,3.1,2.88
baseline,3.5,3.4,2.2,3.1,2.5,2.9400000000000004
smote,3.0,3.3,3.0,2.7,3.3,3.06
ctgan,4.4,4.3,3.5,4.3,4.0,4.1
