,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
classifier,knn,lr,mlp,rf,tabpfn,xgboost,knn,lr,mlp,rf,tabpfn,xgboost
method,,,,,,,,,,,,
baseline,70.50602,92.25766999999999,92.71610000000001,85.95054,95.54639,82.4075,2.8924457109281505,1.8320933970916102,2.1885444889240895,2.1963786367564233,1.697884822981555,2.441097126748998
ctgan,70.50602,92.25766999999999,92.78186000000001,85.97249000000001,95.54639,82.4075,2.8924457109281505,1.8320933970916102,2.2018080157502853,2.3096655584978363,1.697884822981555,2.441097126748998
smote,84.43951,92.13484,92.92445000000001,87.32446999999999,94.29924,82.66513,2.198767074951071,1.8221638066382009,2.367869381837698,2.3262700459701153,1.758883659976783,2.3663233840472664
tabebm,83.39778,92.47503,93.06931,87.9466,94.81336,85.16258,2.251716867340711,1.7642397475336977,1.8814680565097777,2.779716948419988,2.116512665368828,2.63566659913157
tvae,77.57662,90.62185,90.60978,83.92036,95.16673,82.28678,2.765005918338051,1.8898170447897253,2.2626078374791825,2.2359458620955417,1.3540858228586072,2.6116232243993833
