,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
classifier,knn,lr,mlp,rf,tabpfn,xgboost,knn,lr,mlp,rf,tabpfn,xgboost
method,,,,,,,,,,,,
baseline,42.60618,70.17654999999999,66.53295,62.55621,74.04325,53.530179999999994,5.2398004815281105,4.137585723918937,4.099282361923582,2.377370723416008,3.1777070297971526,4.952669500784401
ctgan,42.60618,70.17654999999999,66.28725,62.62069,74.04325,53.530179999999994,5.2398004815281105,4.137585723918937,3.810152435343701,2.454194422910386,3.1777070297971526,4.952669500784401
smote,63.03393,69.8246,67.17953,63.800329999999995,65.29138,54.79634,4.084826901282903,4.421302039495204,3.801786102478676,2.061334782260164,4.277541175540504,3.9591742896720254
tabebm,59.485760000000006,70.79819,67.24172999999999,65.28506,67.14135999999999,58.26194,3.0660714959410558,4.243499312922978,3.7835222287792467,2.4461353633844554,3.852121839021537,2.3557643860680684
tvae,57.17644,65.93466000000001,63.803189999999994,61.7007,70.11586,54.959979999999995,3.5733380230690623,3.7235698463228055,3.849072244479468,3.2800803323495997,3.092364297283087,3.024332447114019
