method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
baseline,2.1,2.3,1.8,3.6,2.6,3.4,2.6333333333333333
tabebm,4.2,1.7,3.2,1.4,4.1,2.2,2.8000000000000003
tvae,1.8,4.6,4.3,2.7,2.1,2.1,2.933333333333333
smote,3.8,2.9,3.5,3.6,2.6,2.9,3.2166666666666663
ctgan,3.1,3.5,2.2,3.7,3.6,4.4,3.4166666666666665
