,mean,mean,mean,mean,mean,std,std,std,std,std
classifier,knn,lr,mlp,rf,xgboost,knn,lr,mlp,rf,xgboost
method,,,,,,,,,,
baseline,79.06236,93.79578000000001,92.61966,82.20509999999999,77.98902000000001,3.734152692884666,1.6720177343557103,1.542482658429437,2.106755436948272,3.828721693782988
ctgan,79.06236,93.63592,92.73826,82.09661,77.57971,3.734152692884666,1.8260710913506817,1.8575303677493717,1.960199602336453,2.7792978639497323
smote,86.39833,93.77779000000001,92.38691,83.58322,78.93674999999999,2.8762656317794337,1.5381464548460773,2.3213509512302934,2.149305497028183,3.4489551246234935
tabebm,84.72288,94.45411,93.14141,83.92007,81.91304,3.3166906628277673,1.3715679490195802,1.7613424214060227,2.531530098159787,2.7429500692988666
tvae,81.63111,91.63372000000001,90.70531,80.5393,79.44663,3.153060101781195,1.8994423075091171,2.077910930317593,2.6516597661758095,3.2007044672661946
