method,knn,lr,mlp,rf,tabpfn,xgboost,AVG_RANK
baseline,4.0,1.6,2.6,3.1,1.1,2.9,2.55
tabebm,2.9,2.9,2.5,2.5,3.8,1.0,2.6
smote,1.5,3.3,2.6,2.4,5.0,3.8,3.1
ctgan,5.0,2.7,2.9,3.4,2.1,4.0,3.35
tvae,1.6,4.5,4.4,3.6,3.0,3.3,3.4000000000000004
