=== support2 n=100 on GPU 1 ===

============================================================
Dataset: support2, N_real: 100, GPUs: [1]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[1], cpu_jobs=6

[1/4] Loading dataset...
  Loaded support2: 1470 samples, 33 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [91/300] split=3 baseline +       lr -> 83.71% (0.0s)
  [92/300] split=3 baseline +      knn -> 58.09% (0.1s)
  [93/300] split=3 baseline +      mlp -> 61.80% (0.4s)
  [94/300] split=3 baseline +       rf -> 90.91% (0.2s)
  [95/300] split=3 baseline +  xgboost -> 100.00% (0.2s)
  [96/300] split=3 baseline +   tabpfn -> 100.00% (1.0s)
  [97/300] split=3    smote +       lr -> 87.90% (0.2s)
  [98/300] split=3    smote +      knn -> 68.35% (0.2s)
  [99/300] split=3    smote +      mlp -> 69.12% (1.1s)
  [100/300] split=3    smote +       rf -> 98.70% (0.2s)
  [101/300] split=3    smote +  xgboost -> 100.00% (0.1s)
  [102/300] split=3    smote +   tabpfn -> 95.10% (1.2s)
  [103/300] split=3   tabebm +       lr -> 86.95% (0.1s)
  [104/300] split=3   tabebm +      knn -> 61.44% (0.1s)
  [105/300] split=3   tabebm +      mlp -> 69.42% (0.4s)
  [106/300] split=3   tabebm +       rf -> 80.52% (0.2s)
  [107/300] split=3   tabebm +  xgboost -> 99.76% (0.1s)
  [108/300] split=3   tabebm +   tabpfn -> 74.68% (1.5s)
  [109/300] split=3     tvae +       lr -> 85.89% (0.1s)
  [110/300] split=3     tvae +      knn -> 67.35% (0.2s)
  [111/300] split=3     tvae +      mlp -> 70.60% (3.1s)
  [112/300] split=3     tvae +       rf -> 98.05% (0.3s)
  [113/300] split=3     tvae +  xgboost -> 100.00% (0.3s)
  [114/300] split=3     tvae +   tabpfn -> 93.39% (0.8s)
  [115/300] split=3    ctgan +       lr -> 83.71% (0.1s)
  [116/300] split=3    ctgan +      knn -> 58.09% (0.1s)
  [117/300] split=3    ctgan +      mlp -> 61.16% (0.6s)
  [118/300] split=3    ctgan +       rf -> 75.32% (0.2s)
  [119/300] split=3    ctgan +  xgboost -> 100.00% (0.1s)
  [120/300] split=3    ctgan +   tabpfn -> 100.00% (0.9s)
  [121/300] split=4 baseline +       lr -> 82.23% (0.0s)
  [122/300] split=4 baseline +      knn -> 60.21% (0.1s)
  [123/300] split=4 baseline +      mlp -> 63.28% (0.1s)
  [124/300] split=4 baseline +       rf -> 87.66% (0.2s)
  [125/300] split=4 baseline +  xgboost -> 100.00% (0.1s)
  [126/300] split=4 baseline +   tabpfn -> 100.00% (0.9s)
  [127/300] split=4    smote +       lr -> 83.59% (0.4s)
  [128/300] split=4    smote +      knn -> 64.22% (0.1s)
