,mean,mean,mean,mean,mean,std,std,std,std,std
classifier,knn,lr,mlp,rf,xgboost,knn,lr,mlp,rf,xgboost
method,,,,,,,,,,
baseline,69.36274999999999,88.97232,87.574,74.67326,68.38866,5.299760619803713,1.9985105119118647,2.1354457291680906,3.7955941049239335,4.433420202457195
ctgan,69.36274999999999,88.97232,87.63593,75.23409000000001,68.38866,5.299760619803713,1.9985105119118647,2.2697404751547188,2.824623363860512,4.433420202457195
smote,83.48792999999999,89.32807,86.85727,75.30172,69.28151,3.0353776539885957,1.645391753453668,2.6604133626395545,2.9186592792658157,3.6077176101149226
tabebm,79.19367,90.58103,87.57224,77.35134000000001,75.67941,3.017194564510402,2.1455412671398353,2.6737041077875454,2.3317508220219416,2.1143399014297066
tvae,76.89329000000001,86.32807,84.2982,75.19718,69.37637,3.5157159215442872,2.08266753257024,2.7461985070274872,2.3961037655141557,3.874311259522999
