method,knn,lr,mlp,rf,tabpfn,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,0.0,0.0,-0.3109800000000007,-0.2939800000000048,0.0,0.0,-0.10082666666666758
smote,0.22335999999999956,-0.35002000000000066,-1.0279199999999946,0.21334999999999127,-0.16106999999999516,0.470799999999997,-0.10525000000000044
tabebm,-0.898050000000012,0.20288999999999646,-0.29766999999999655,1.023539999999997,-0.030839999999997758,0.7264100000000013,0.12104666666666475
tvae,0.0554300000000012,-0.591620000000006,-0.7685400000000158,0.8453899999999948,0.32107000000000596,0.5741100000000046,0.07263999999999744
