method,knn,lr,mlp,rf,tabpfn,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,0.0,-0.17171000000000447,-2.005650000000003,-0.7558800000000048,-1.0733000000000033,-1.2075200000000024,-0.869010000000003
smote,19.44420000000001,-0.0830399999999969,-0.6387300000000096,1.830769999999987,-2.896070000000009,1.508349999999993,3.1942466666666625
tabebm,17.49705,1.0540500000000037,0.42734000000000094,3.097279999999998,-2.4814499999999953,2.759539999999987,3.725634999999999
tvae,11.205110000000005,-3.3852699999999913,-5.052720000000008,-1.6599100000000107,-1.8651100000000014,0.23777999999998656,-0.08668666666666998
