method,knn,lr,mlp,rf,tabpfn,xgboost,MEAN
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctgan,0.0,0.0,-1.044940000000004,-8.37661,0.0,0.0,-1.570258333333334
smote,9.565449999999998,2.455110000000005,1.7468099999999893,10.389620000000008,-7.456639999999993,0.0,2.783391666666668
tabebm,8.677700000000002,5.210930000000019,4.732589999999995,5.3896099999999905,-25.342489999999998,-0.9919900000000013,-0.3872749999999989
tvae,16.209369999999993,3.835460000000012,8.58079,7.455709999999996,-11.635500000000008,-1.0038100000000014,3.907003333333332
