dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
fourier,100,0,tabebm,knn,63.4,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",63.36,"[0.94, 0.32, 0.64, 0.8, 0.7, 0.4, 0.48, 0.38, 0.68, 1.0]",0.981208,0.947071,0.14,ok
fourier,100,0,tabebm,mlp,64.8,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",63.36,"[0.92, 0.28, 0.46, 0.84, 0.72, 0.36, 0.82, 0.36, 0.72, 1.0]",0.981208,0.947071,0.28,ok
fourier,100,0,tabebm,rf,76.0,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",63.36,"[1.0, 0.3, 0.62, 0.9, 0.86, 0.76, 0.94, 0.46, 0.76, 1.0]",0.981208,0.947071,0.2,ok
fourier,100,0,tabebm,xgboost,67.6,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",63.36,"[0.92, 0.42, 0.58, 0.76, 0.72, 0.66, 0.84, 0.34, 0.6, 0.92]",0.981208,0.947071,0.38,ok
fourier,100,0,tabebm,tabpfn,70.0,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",63.36,"[0.98, 0.32, 0.74, 0.78, 0.62, 0.52, 0.78, 0.5, 0.76, 1.0]",0.981208,0.947071,0.44,ok
fourier,100,0,tvae,lr,64.6,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",197.48,"[0.88, 0.44, 0.4, 0.82, 0.68, 0.3, 0.86, 0.3, 0.78, 1.0]",0.082283,0.15125,0.72,ok
fourier,100,0,tvae,knn,68.2,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",197.48,"[0.9, 0.32, 0.68, 0.8, 0.7, 0.4, 0.82, 0.44, 0.76, 1.0]",0.082283,0.15125,0.14,ok
fourier,100,0,tvae,mlp,61.0,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",197.48,"[0.88, 0.28, 0.44, 0.7, 0.5, 0.34, 0.88, 0.34, 0.74, 1.0]",0.082283,0.15125,0.39,ok
fourier,100,0,tvae,rf,73.2,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",197.48,"[1.0, 0.38, 0.38, 0.9, 0.82, 0.7, 0.96, 0.42, 0.76, 1.0]",0.082283,0.15125,0.22,ok
fourier,100,0,tvae,xgboost,67.8,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",197.48,"[0.9, 0.48, 0.54, 0.8, 0.74, 0.68, 0.88, 0.3, 0.6, 0.86]",0.082283,0.15125,0.38,ok
fourier,100,0,tvae,tabpfn,74.0,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",197.48,"[1.0, 0.42, 0.66, 0.78, 0.82, 0.68, 0.88, 0.42, 0.74, 1.0]",0.082283,0.15125,0.15,ok
fourier,100,0,ctgan,lr,65.2,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",394.24,"[0.92, 0.48, 0.44, 0.78, 0.74, 0.38, 0.76, 0.32, 0.72, 0.98]",0.002218,0.017751,1.04,ok
fourier,100,0,ctgan,knn,58.4,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",394.24,"[0.92, 0.24, 0.66, 0.76, 0.74, 0.24, 0.4, 0.3, 0.58, 1.0]",0.002218,0.017751,0.14,ok
fourier,100,0,ctgan,mlp,63.4,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",394.24,"[0.9, 0.28, 0.34, 0.76, 0.78, 0.4, 0.76, 0.38, 0.76, 0.98]",0.002218,0.017751,0.35,ok
fourier,100,0,ctgan,rf,67.8,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",394.24,"[0.96, 0.22, 0.5, 0.9, 0.72, 0.64, 0.6, 0.5, 0.74, 1.0]",0.002218,0.017751,0.25,ok
fourier,100,0,ctgan,xgboost,60.6,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",394.24,"[0.9, 0.38, 0.56, 0.8, 0.42, 0.46, 0.6, 0.24, 0.7, 1.0]",0.002218,0.017751,0.4,ok
fourier,100,0,ctgan,tabpfn,71.8,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",394.24,"[0.96, 0.48, 0.46, 0.92, 0.8, 0.7, 0.74, 0.4, 0.72, 1.0]",0.002218,0.017751,0.14,ok
fourier,100,1,baseline,lr,66.2,43,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.92, 0.56, 0.68, 0.82, 0.46, 0.5, 0.58, 0.32, 0.84, 0.94]",,,0.44,ok
fourier,100,1,baseline,knn,55.4,43,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.9, 0.42, 0.66, 0.78, 0.34, 0.14, 0.2, 0.28, 0.84, 0.98]",,,0.1,ok
fourier,100,1,baseline,mlp,64.4,43,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.94, 0.48, 0.56, 0.84, 0.54, 0.4, 0.58, 0.24, 0.88, 0.98]",,,0.11,ok
fourier,100,1,baseline,rf,72.6,43,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.96, 0.54, 0.68, 0.92, 0.58, 0.62, 0.8, 0.34, 0.86, 0.96]",,,0.17,ok
fourier,100,1,baseline,xgboost,69.0,43,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.86, 0.6, 0.58, 0.9, 0.6, 0.46, 0.84, 0.26, 0.94, 0.86]",,,0.23,ok
